Star system,Government,Allegiance,Power,Population,Fac,Sta,Inf,Updated
134 Tauri︎,Corporate,Independent,,2194293,4,3.0,51.3%,13 days ago
23 Geminorum︎,Corporate,Independent,,98212,4,1.0,60.0%,2 days ago
30 Geminorum︎,Corporate,Independent,,109845,4,9.0,53.1%,1 hour ago
75 l Orionis︎,Corporate,Independent,,111344,4,1.0,60.3%,2 days ago
Aapep︎,Anarchy,Independent,,162288,6,26.0,6.2%,1 day ago
Alkondu︎,Anarchy,Independent,,23913,4,27.0,15.8%,2 days ago
Amitabha︎,Anarchy,Independent,,3048441,7,13.0,7.7%,1 day ago
Bach︎,Anarchy,Independent,,16461,5,11.0,11.6%,17 hours ago
Bastana︎,Confederacy,Federation,,7153533,7,87.0,5.1%,1 day ago
Bhime︎,Democracy,Independent,,16150961,7,24.0,13.5%,4 days ago
Bletii︎,Patronage,Independent,,6108032,6,124.0,15.3%,12 minutes ago
Celes︎,Corporate,Independent,,89354,7,37.0,39.9%,1 day ago
Col 285 Sector AJ-Q b6-2︎,Corporate,Independent,,149249,4,2.0,53.9%,30 days ago
Col 285 Sector AU-O b7-4︎,Corporate,Independent,,209522,4,3.0,60.1%,6 days ago
Col 285 Sector BA-Z d24︎,Corporate,Federation,,125320,3,2.0,12.7%,6 days ago
Col 285 Sector BA-Z d70︎,Corporate,Federation,,35923908,3,13.0,10.4%,1 day ago
Col 285 Sector BK-N b8-0︎,Corporate,Independent,,61062,4,2.0,19.8%,47 days ago
Col 285 Sector BK-N b8-2︎,Corporate,Independent,,1784199,4,3.0,20.0%,2 days ago
Col 285 Sector BU-O b7-1︎,Corporate,Independent,,919208,4,5.0,60.3%,4 days ago
Col 285 Sector BU-O b7-3︎,Corporate,Independent,,93080,4,1.0,56.6%,6 days ago
Col 285 Sector BU-O b7-4︎,Corporate,Independent,,197588,4,2.0,53.7%,8 days ago
Col 285 Sector BU-O b7-5︎,Democracy,Independent,,7404665,4,29.0,20.3%,2 days ago
Col 285 Sector CU-O b7-1︎,Cooperative,Independent,,59765,4,4.0,19.9%,4 days ago
Col 285 Sector DF-N b8-3︎,Corporate,Independent,,50939,4,1.0,52.8%,6 days ago
Col 285 Sector DV-Y d32︎,Corporate,Independent,,187135,4,3.0,55.8%,7 days ago
Col 285 Sector EP-O b7-3︎,Patronage,Independent,,4187678,4,5.0,20.7%,5 days ago
Col 285 Sector FA-N b8-0︎,Corporate,Independent,,28182851,4,1.0,61.9%,6 days ago
Col 285 Sector FA-N b8-1︎,Corporate,Independent,,57472,4,,61.1%,10 days ago
Col 285 Sector FG-X d1-20︎,Corporate,Independent,,142509,4,8.0,60.5%,5 days ago
Col 285 Sector FG-X d1-43︎,Corporate,Independent,,154704,4,2.0,58.6%,13 days ago
Col 285 Sector FG-X d1-53︎,Corporate,Independent,,170188,4,1.0,55.4%,11 days ago
Col 285 Sector FG-X d1-68︎,Corporate,Independent,,161946,3,1.0,64.6%,6 days ago
Col 285 Sector FK-O b7-3︎,Patronage,Independent,,81379,4,1.0,19.1%,6 days ago
Col 285 Sector FQ-L b9-0︎,Corporate,Independent,,6355504,4,1.0,21.9%,1 day ago
Col 285 Sector FQ-L b9-1︎,Corporate,Independent,,178926,4,1.0,20.4%,3 days ago
Col 285 Sector FQ-L b9-5︎,Corporate,Independent,,145662,4,1.0,21.5%,28 days ago
Col 285 Sector FV-X c1-12︎,Corporate,Independent,,63731,4,1.0,58.5%,3 days ago
Col 285 Sector FV-X c1-21︎,Corporate,Independent,,119663,4,1.0,51.2%,23 hours ago
Col 285 Sector FV-X c1-23︎,Corporate,Federation,,167320,4,1.0,37.5%,12 days ago
Col 285 Sector FV-X c1-24︎,Corporate,Federation,,1782532,3,2.0,33.5%,1 day ago
Col 285 Sector GG-X d1-106︎,Corporate,Independent,,96017,4,2.0,48.2%,5 days ago
Col 285 Sector GG-X d1-107︎,Corporate,Independent,,57763,4,1.0,57.8%,26 days ago
Col 285 Sector GG-X d1-123︎,Democracy,Independent,,30520,4,3.0,20.0%,20 days ago
Col 285 Sector GG-X d1-124︎,Democracy,Independent,,534302237,4,7.0,16.5%,8 days ago
Col 285 Sector GG-X d1-32︎,Corporate,Independent,,66983,4,1.0,60.0%,2 days ago
Col 285 Sector GG-X d1-42︎,Democracy,Independent,,80144,4,1.0,18.6%,38 days ago
Col 285 Sector GG-X d1-52︎,Corporate,Independent,,327683587,3,16.0,77.8%,2 days ago
Col 285 Sector GG-X d1-58︎,Corporate,Independent,,46058,4,1.0,60.0%,25 days ago
Col 285 Sector GG-X d1-84︎,Patronage,Independent,,190211,4,3.0,19.9%,4 days ago
Col 285 Sector GG-X d1-87︎,Corporate,Independent,,1312893,4,9.0,62.8%,1 day ago
Col 285 Sector GG-X d1-89︎,Corporate,Independent,,175294,4,1.0,53.7%,20 days ago
Col 285 Sector GG-X d1-91︎,Corporate,Independent,,89919,4,,60.5%,31 days ago
Col 285 Sector GG-X d1-98︎,Corporate,Independent,,181542,4,3.0,60.0%,6 days ago
Col 285 Sector GG-X d1-99︎,Patronage,Independent,,83852,4,,19.2%,14 days ago
Col 285 Sector GK-O b7-6︎,Patronage,Independent,,35492848,4,9.0,12.7%,1 day ago
Col 285 Sector GL-L b9-0︎,Corporate,Independent,,2024522,4,21.0,20.9%,12 hours ago
Col 285 Sector GV-X c1-24︎,Corporate,Independent,,59311,4,,60.0%,3 days ago
Col 285 Sector HG-W c2-2︎,Corporate,Independent,,40757,4,1.0,54.5%,2 days ago
Col 285 Sector HG-W c2-8︎,Corporate,Independent,,56697,4,1.0,51.9%,2 days ago
Col 285 Sector HI-Q a7-0︎,Corporate,Independent,,41101,4,,60.0%,39 days ago
Col 285 Sector HK-O b7-6︎,Patronage,Independent,,86832,4,1.0,20.0%,13 days ago
Col 285 Sector HQ-X c1-7︎,Corporate,Federation,,2754913,4,10.0,18.9%,8 hours ago
Col 285 Sector HV-M b8-4︎,Patronage,Independent,,83555,3,1.0,22.1%,18 hours ago
Col 285 Sector JB-W c2-16︎,Corporate,Independent,,690317,4,1.0,55.7%,22 days ago
Col 285 Sector JB-W c2-2︎,Corporate,Independent,,152265,4,1.0,59.6%,24 days ago
Col 285 Sector JB-W c2-22︎,Democracy,Federation,,1200185,4,23.0,25.6%,3 days ago
Col 285 Sector KB-W c2-18︎,Corporate,Independent,,59327,4,1.0,57.1%,12 days ago
Col 285 Sector KB-W c2-2︎,Corporate,Independent,,48048,4,,60.0%,44 days ago
Col 285 Sector KM-V d2-112︎,Patronage,Independent,,47839,4,,21.3%,4 days ago
Col 285 Sector KM-V d2-115︎,Patronage,Independent,,56538,4,4.0,19.9%,6 days ago
Col 285 Sector KM-V d2-118︎,Corporate,Independent,,82658,4,1.0,20.0%,15 days ago
Col 285 Sector KM-V d2-119︎,Corporate,Independent,,94349,4,1.0,20.0%,2 days ago
Col 285 Sector KM-V d2-55︎,Corporate,Independent,,651993,4,1.0,18.9%,2 days ago
Col 285 Sector KM-V d2-79︎,Corporate,Independent,,2250147,4,15.0,17.9%,1 day ago
Col 285 Sector KO-O a8-1︎,Corporate,Independent,,65989,4,1.0,59.0%,5 days ago
Col 285 Sector KV-V b3-1︎,Corporate,Independent,,57212,4,6.0,54.3%,23 hours ago
Col 285 Sector LB-W c2-13︎,Democracy,Independent,,292435,4,4.0,19.9%,3 days ago
Col 285 Sector LB-W c2-20︎,Corporate,Independent,,137672,4,1.0,57.7%,19 days ago
Col 285 Sector LQ-M b8-3︎,Patronage,Independent,,5625886,4,14.0,21.8%,19 hours ago
Col 285 Sector LQ-M b8-6︎,Patronage,Independent,,71009,4,2.0,21.2%,20 hours ago
Col 285 Sector LQ-V b3-2︎,Corporate,Federation,,70031,4,3.0,34.8%,25 days ago
Col 285 Sector LQ-V b3-3︎,Corporate,Independent,,147527,4,2.0,47.3%,12 days ago
Col 285 Sector MM-U c3-0︎,Cooperative,Independent,,1062988,3,16.0,32.5%,2 days ago
Col 285 Sector MM-U c3-1︎,Corporate,Independent,,184945,4,1.0,56.4%,12 days ago
Col 285 Sector MM-U c3-12︎,Corporate,Independent,,88260,4,2.0,59.4%,15 days ago
Col 285 Sector MM-U c3-16︎,Corporate,Independent,,101763,4,1.0,55.8%,6 days ago
Col 285 Sector MM-U c3-2︎,Cooperative,Independent,,5792579,4,5.0,35.4%,6 days ago
Col 285 Sector MM-U c3-22︎,Corporate,Independent,,83585,4,2.0,60.0%,1 day ago
Col 285 Sector MM-U c3-3︎,Corporate,Independent,,76075,4,2.0,57.6%,54 days ago
Col 285 Sector MM-U c3-4︎,Corporate,Independent,,14632866,4,1.0,60.0%,5 days ago
Col 285 Sector MM-U c3-5︎,Corporate,Independent,,212367,4,3.0,60.2%,7 days ago
Col 285 Sector MM-U c3-7︎,Corporate,Independent,,345109,4,2.0,59.5%,1 day ago
Col 285 Sector MM-U c3-8︎,Corporate,Independent,,177991,4,2.0,55.7%,11 days ago
Col 285 Sector NB-U b4-0︎,Corporate,Independent,,757676,4,1.0,57.8%,9 days ago
Col 285 Sector NL-V b3-2︎,Corporate,Federation,,4761484,3,1.0,24.6%,11 days ago
Col 285 Sector NL-V b3-5︎,Corporate,Independent,,445088,4,1.0,42.9%,10 days ago
Col 285 Sector NM-U c3-10︎,Corporate,Independent,,165515,4,,60.7%,1 day ago
Col 285 Sector NZ-M a9-0︎,Corporate,Independent,,40097,4,1.0,53.1%,95 days ago
Col 285 Sector OH-U c3-10︎,Patronage,Independent,,169082,4,1.0,22.9%,15 days ago
Col 285 Sector OH-U c3-14︎,Patronage,Independent,,88872,4,1.0,17.7%,23 days ago
Col 285 Sector OH-U c3-23︎,Patronage,Independent,,79382,4,1.0,18.7%,17 days ago
Col 285 Sector OW-K b9-3︎,Patronage,Independent,,2433594,4,2.0,19.9%,11 days ago
Col 285 Sector OW-K b9-4︎,Patronage,Independent,,240774,4,1.0,20.0%,11 days ago
Col 285 Sector OW-K b9-7︎,Patronage,Independent,,57265,4,3.0,20.0%,13 days ago
Col 285 Sector OX-S c4-12︎,Corporate,Independent,,82413,4,3.0,20.0%,52 days ago
Col 285 Sector OX-S c4-16︎,Corporate,Independent,,5970522,4,2.0,19.9%,11 days ago
Col 285 Sector PH-U c3-14︎,Corporate,Independent,,166137,4,1.0,64.4%,25 days ago
Col 285 Sector PH-U c3-16︎,Corporate,Independent,,46152,4,2.0,60.0%,53 days ago
Col 285 Sector PH-U c3-20︎,Patronage,Independent,,104599,4,,20.0%,12 days ago
Col 285 Sector PH-U c3-23︎,Patronage,Independent,,119775,4,1.0,20.0%,72 days ago
Col 285 Sector PH-U c3-5︎,Patronage,Independent,,132169,4,15.0,19.1%,4 days ago
Col 285 Sector PM-S b5-3︎,Corporate,Independent,,139893,4,1.0,58.0%,8 days ago
Col 285 Sector PM-S b5-6︎,Corporate,Independent,,38987,4,,60.0%,2 days ago
Col 285 Sector PW-T b4-0︎,Corporate,Independent,,53365302,4,8.0,66.1%,2 days ago
Col 285 Sector PW-T b4-2︎,Corporate,Independent,,31871453,4,10.0,57.3%,5 days ago
Col 285 Sector PW-T b4-3︎,Corporate,Federation,,909714,4,1.0,35.0%,4 days ago
Col 285 Sector QB-U b4-2︎,Corporate,Independent,,86305,4,2.0,62.0%,12 days ago
Col 285 Sector QS-S c4-11︎,Corporate,Independent,,177674,4,1.0,60.0%,11 days ago
Col 285 Sector QS-S c4-12︎,Corporate,Independent,,31483159,4,12.0,57.1%,6 days ago
Col 285 Sector QS-S c4-2︎,Corporate,Federation,,225340,3,4.0,11.5%,1 day ago
Col 285 Sector QS-S c4-7︎,Corporate,Independent,,56027,4,1.0,20.0%,2 days ago
Col 285 Sector QS-S c4-9︎,Corporate,Independent,,751496,4,3.0,19.6%,2 days ago
Col 285 Sector TN-S c4-27︎,Patronage,Independent,,548152,4,2.0,22.3%,13 days ago
Col 285 Sector TN-S c4-28︎,Patronage,Independent,,12197,4,2.0,20.0%,1 day ago
Col 285 Sector TN-S c4-5︎,Patronage,Independent,,152996,4,1.0,20.4%,15 days ago
Col 285 Sector TR-T b4-0︎,Corporate,Independent,,36611834,4,1.0,60.4%,2 days ago
Col 285 Sector UR-T b4-2︎,Democracy,Independent,,59011,4,5.0,19.9%,21 days ago
Col 285 Sector US-Q b6-1︎,Democracy,Independent,,44442,4,1.0,12.5%,7 days ago
Col 285 Sector WN-Q b6-1︎,Corporate,Independent,,199192,4,2.0,60.0%,1 day ago
Col 285 Sector WX-R b5-3︎,Corporate,Independent,,63122,4,,62.0%,10 days ago
Col 285 Sector XL-J a11-2︎,Corporate,Independent,,3986239,4,,62.7%,18 days ago
Col 285 Sector XY-O b7-0︎,Feudal,Independent,,199732,4,1.0,20.3%,1 day ago
Col 285 Sector YN-Q b6-2︎,Corporate,Independent,,321868,4,6.0,59.3%,25 days ago
Col 285 Sector YN-Q b6-4︎,Corporate,Independent,,89961,4,1.0,59.9%,6 days ago
Col 285 Sector YX-R b5-1︎,Democracy,Independent,,61835,4,3.0,19.9%,2 days ago
Col 285 Sector YX-R b5-3︎,Democracy,Independent,,160457,3,3.0,16.8%,3 days ago
Col 285 Sector YX-R b5-5︎,Democracy,Independent,,74456,4,2.0,30.6%,12 days ago
Col 285 Sector YY-O b7-2︎,Democracy,Independent,,78385,4,3.0,11.6%,4 days ago
Col 285 Sector ZX-R b5-0︎,Democracy,Independent,,59662558,3,29.0,8.9%,1 day ago
Cuic︎,Anarchy,Independent,,15150,6,12.0,9.1%,1 day ago
Drevelli︎,Corporate,Independent,,44080,7,32.0,11.6%,1 day ago
Gerong︎,Anarchy,Independent,,2581941,7,31.0,5.2%,1 day ago
Giryamba︎,Corporate,Independent,,105669,6,51.0,15.2%,9 days ago
HIP 26625︎,Communism,Independent,,65906,4,,13.0%,5 days ago
HIP 26729︎,Communism,Independent,,84063,4,1.0,13.4%,33 days ago
HIP 27431︎,Corporate,Independent,,91136,4,,61.4%,3 days ago
HIP 27933︎,Corporate,Independent,,1156981,4,1.0,53.8%,2 days ago
HIP 29200︎,Corporate,Independent,,478894,4,12.0,62.0%,2 days ago
HIP 29665︎,Corporate,Independent,,21226,4,3.0,60.0%,6 days ago
HIP 29991︎,Corporate,Independent,,360386,3,2.0,64.9%,26 days ago
HIP 30749︎,Corporate,Independent,,429373,4,8.0,59.6%,1 day ago
HIP 30838︎,Patronage,Independent,,86087,4,,20.3%,15 days ago
HIP 31326︎,Patronage,Independent,,111225,4,4.0,21.7%,2 days ago
HIP 31849︎,Anarchy,Independent,,86403,4,5.0,18.8%,2 days ago
HIP 32608︎,Patronage,Independent,,1841910,4,1.0,20.0%,4 days ago
HIP 33227︎,Corporate,Independent,,96805,4,1.0,55.6%,11 days ago
HIP 33275︎,Anarchy,Independent,,680536,6,2.0,10.6%,1 day ago
HIP 33303︎,Patronage,Independent,,74618,4,10.0,20.6%,4 days ago
HIP 33608︎,Patronage,Independent,,87252,4,1.0,19.5%,8 days ago
HIP 33941︎,Corporate,Independent,,5598147,4,11.0,67.5%,1 day ago
HIP 34214︎,Corporate,Independent,,182047,4,1.0,55.6%,5 days ago
HIP 34633︎,Corporate,Independent,,2419393,4,,59.9%,5 days ago
HIP 34759︎,Corporate,Independent,,318483,4,5.0,56.6%,7 days ago
HIP 35185︎,Corporate,Independent,,150481,7,59.0,5.9%,1 day ago
HIP 35219︎,Corporate,Independent,,126585,4,7.0,58.3%,8 days ago
HR 2324︎,Patronage,Independent,,78635,4,2.0,20.1%,34 days ago
HR 2375︎,Corporate,Independent,,2584941,4,2.0,61.8%,10 days ago
HR 2391︎,Corporate,Independent,,10791399,4,1.0,47.8%,11 days ago
HR 2551︎,Corporate,Independent,,5811,4,2.0,63.3%,2 days ago
HR 2606︎,Corporate,Independent,,66122441,3,20.0,44.8%,2 days ago
Hyades Sector AF-Y b1-4︎,Corporate,Independent,,124013,4,1.0,59.3%,4 days ago
Hyades Sector AF-Z c20︎,Corporate,Independent,,138439,4,2.0,60.0%,16 days ago
Hyades Sector AV-Y d106︎,Corporate,Independent,,32759836,4,3.0,58.1%,16 days ago
Hyades Sector AV-Y d109︎,Corporate,Independent,,32893,4,1.0,57.3%,2 days ago
Hyades Sector AV-Y d36︎,Corporate,Independent,,104577,4,3.0,57.4%,3 days ago
Hyades Sector AV-Y d65︎,Corporate,Independent,,84086,5,3.0,53.8%,26 days ago
Hyades Sector AV-Y d70︎,Corporate,Independent,,4371051,4,1.0,56.0%,11 days ago
Hyades Sector BA-Z c2︎,Democracy,Federation,,227976,4,8.0,34.1%,3 days ago
Hyades Sector BA-Z c3︎,Corporate,Independent,,36105486,4,7.0,53.9%,3 days ago
